,name,alternating,positive,alexander_polynomial
0,0_1,Y,,1
1,3_1,Y,Y,1-t+t^2
2,4_1,Y,N,1-3*t+t^2
3,5_1,Y,Y,1-t+t^2-t^3+t^4
4,5_2,Y,Y,2-3*t+2*t^2
5,6_1,Y,N,2-5*t+2*t^2
6,6_2,Y,N,1-3*t+3*t^2-3*t^3+t^4
7,6_3,Y,N,1-3*t+5*t^2-3*t^3+t^4
8,7_1,Y,Y,1-t+t^2-t^3+t^4-t^5+t^6
9,7_2,Y,Y,3-5*t+3*t^2
10,7_3,Y,Y,2-3*t+3*t^2-3*t^3+2*t^4
11,7_4,Y,Y,4-7*t+4*t^2
12,7_5,Y,Y,2-4*t+5*t^2-4*t^3+2*t^4
13,7_6,Y,N,1-5*t+7*t^2-5*t^3+t^4
14,7_7,Y,N,1-5*t+9*t^2-5*t^3+t^4
15,8_1,Y,N,3-7*t+3*t^2
16,8_2,Y,N,1-3*t+3*t^2-3*t^3+3*t^4-3*t^5+t^6
17,8_3,Y,N,4-9*t+4*t^2
18,8_4,Y,N,2-5*t+5*t^2-5*t^3+2*t^4
19,8_5,Y,N,1-3*t+4*t^2-5*t^3+4*t^4-3*t^5+t^6
20,8_6,Y,N,2-6*t+7*t^2-6*t^3+2*t^4
21,8_7,Y,N,1-3*t+5*t^2-5*t^3+5*t^4-3*t^5+t^6
22,8_8,Y,N,2-6*t+9*t^2-6*t^3+2*t^4
23,8_9,Y,N,1-3*t+5*t^2-7*t^3+5*t^4-3*t^5+t^6
24,8_10,Y,N,1-3*t+6*t^2-7*t^3+6*t^4-3*t^5+t^6
25,8_11,Y,N,2-7*t+9*t^2-7*t^3+2*t^4
26,8_12,Y,N,1-7*t+13*t^2-7*t^3+t^4
27,8_13,Y,N,2-7*t+11*t^2-7*t^3+2*t^4
28,8_14,Y,N,2-8*t+11*t^2-8*t^3+2*t^4
29,8_15,Y,Y,3-8*t+11*t^2-8*t^3+3*t^4
30,8_16,Y,N,1-4*t+8*t^2-9*t^3+8*t^4-4*t^5+t^6
31,8_17,Y,N,1-4*t+8*t^2-11*t^3+8*t^4-4*t^5+t^6
32,8_18,Y,N,1-5*t+10*t^2-13*t^3+10*t^4-5*t^5+t^6
33,8_19,N,Y,1-t+t^3-t^5+t^6
34,8_20,N,N,1-2*t+3*t^2-2*t^3+t^4
35,8_21,N,N,1-4*t+5*t^2-4*t^3+t^4
36,9_1,Y,Y,1-t+t^2-t^3+t^4-t^5+t^6-t^7+t^8
37,9_2,Y,Y,4-7*t+4*t^2
38,9_3,Y,Y,2-3*t+3*t^2-3*t^3+3*t^4-3*t^5+2*t^6
39,9_4,Y,Y,3-5*t+5*t^2-5*t^3+3*t^4
40,9_5,Y,Y,6-11*t+6*t^2
41,9_6,Y,Y,2-4*t+5*t^2-5*t^3+5*t^4-4*t^5+2*t^6
42,9_7,Y,Y,3-7*t+9*t^2-7*t^3+3*t^4
43,9_8,Y,N,2-8*t+11*t^2-8*t^3+2*t^4
44,9_9,Y,Y,2-4*t+6*t^2-7*t^3+6*t^4-4*t^5+2*t^6
45,9_10,Y,Y,4-8*t+9*t^2-8*t^3+4*t^4
46,9_11,Y,N,1-5*t+7*t^2-7*t^3+7*t^4-5*t^5+t^6
47,9_12,Y,N,2-9*t+13*t^2-9*t^3+2*t^4
48,9_13,Y,Y,4-9*t+11*t^2-9*t^3+4*t^4
49,9_14,Y,N,2-9*t+15*t^2-9*t^3+2*t^4
50,9_15,Y,N,2-10*t+15*t^2-10*t^3+2*t^4
51,9_16,Y,Y,2-5*t+8*t^2-9*t^3+8*t^4-5*t^5+2*t^6
52,9_17,Y,N,1-5*t+9*t^2-9*t^3+9*t^4-5*t^5+t^6
53,9_18,Y,Y,4-10*t+13*t^2-10*t^3+4*t^4
54,9_19,Y,N,2-10*t+17*t^2-10*t^3+2*t^4
55,9_20,Y,N,1-5*t+9*t^2-11*t^3+9*t^4-5*t^5+t^6
56,9_21,Y,N,2-11*t+17*t^2-11*t^3+2*t^4
57,9_22,Y,N,1-5*t+10*t^2-11*t^3+10*t^4-5*t^5+t^6
58,9_23,Y,Y,4-11*t+15*t^2-11*t^3+4*t^4
59,9_24,Y,N,1-5*t+10*t^2-13*t^3+10*t^4-5*t^5+t^6
60,9_25,Y,N,3-12*t+17*t^2-12*t^3+3*t^4
61,9_26,Y,N,1-5*t+11*t^2-13*t^3+11*t^4-5*t^5+t^6
62,9_27,Y,N,1-5*t+11*t^2-15*t^3+11*t^4-5*t^5+t^6
63,9_28,Y,N,1-5*t+12*t^2-15*t^3+12*t^4-5*t^5+t^6
64,9_29,Y,N,1-5*t+12*t^2-15*t^3+12*t^4-5*t^5+t^6
65,9_30,Y,N,1-5*t+12*t^2-17*t^3+12*t^4-5*t^5+t^6
66,9_31,Y,N,1-5*t+13*t^2-17*t^3+13*t^4-5*t^5+t^6
67,9_32,Y,N,1-6*t+14*t^2-17*t^3+14*t^4-6*t^5+t^6
68,9_33,Y,N,1-6*t+14*t^2-19*t^3+14*t^4-6*t^5+t^6
69,9_34,Y,N,1-6*t+16*t^2-23*t^3+16*t^4-6*t^5+t^6
70,9_35,Y,Y,7-13*t+7*t^2
71,9_36,Y,N,1-5*t+8*t^2-9*t^3+8*t^4-5*t^5+t^6
72,9_37,Y,N,2-11*t+19*t^2-11*t^3+2*t^4
73,9_38,Y,Y,5-14*t+19*t^2-14*t^3+5*t^4
74,9_39,Y,N,3-14*t+21*t^2-14*t^3+3*t^4
75,9_40,Y,N,1-7*t+18*t^2-23*t^3+18*t^4-7*t^5+t^6
76,9_41,Y,N,3-12*t+19*t^2-12*t^3+3*t^4
77,9_42,N,N,1-2*t+t^2-2*t^3+t^4
78,9_43,N,N,1-3*t+2*t^2-t^3+2*t^4-3*t^5+t^6
79,9_44,N,N,1-4*t+7*t^2-4*t^3+t^4
80,9_45,N,N,1-6*t+9*t^2-6*t^3+t^4
81,9_46,N,N,2-5*t+2*t^2
82,9_47,N,N,1-4*t+6*t^2-5*t^3+6*t^4-4*t^5+t^6
83,9_48,N,N,1-7*t+11*t^2-7*t^3+t^4
84,9_49,N,Y,3-6*t+7*t^2-6*t^3+3*t^4
85,10_1,Y,N,4-9*t+4*t^2
86,10_2,Y,N,1-3*t+3*t^2-3*t^3+3*t^4-3*t^5+3*t^6-3*t^7+t^8
87,10_3,Y,N,6-13*t+6*t^2
88,10_4,Y,N,3-7*t+7*t^2-7*t^3+3*t^4
89,10_5,Y,N,1-3*t+5*t^2-5*t^3+5*t^4-5*t^5+5*t^6-3*t^7+t^8
90,10_6,Y,N,2-6*t+7*t^2-7*t^3+7*t^4-6*t^5+2*t^6
91,10_7,Y,N,3-11*t+15*t^2-11*t^3+3*t^4
92,10_8,Y,N,2-5*t+5*t^2-5*t^3+5*t^4-5*t^5+2*t^6
93,10_9,Y,N,1-3*t+5*t^2-7*t^3+7*t^4-7*t^5+5*t^6-3*t^7+t^8
94,10_10,Y,N,3-11*t+17*t^2-11*t^3+3*t^4
95,10_11,Y,N,4-11*t+13*t^2-11*t^3+4*t^4
96,10_12,Y,N,2-6*t+10*t^2-11*t^3+10*t^4-6*t^5+2*t^6
97,10_13,Y,N,2-13*t+23*t^2-13*t^3+2*t^4
98,10_14,Y,N,2-8*t+12*t^2-13*t^3+12*t^4-8*t^5+2*t^6
99,10_15,Y,N,2-6*t+9*t^2-9*t^3+9*t^4-6*t^5+2*t^6
100,10_16,Y,N,4-12*t+15*t^2-12*t^3+4*t^4
101,10_17,Y,N,1-3*t+5*t^2-7*t^3+9*t^4-7*t^5+5*t^6-3*t^7+t^8
102,10_18,Y,N,4-14*t+19*t^2-14*t^3+4*t^4
103,10_19,Y,N,2-7*t+11*t^2-11*t^3+11*t^4-7*t^5+2*t^6
104,10_20,Y,N,3-9*t+11*t^2-9*t^3+3*t^4
105,10_21,Y,N,2-7*t+9*t^2-9*t^3+9*t^4-7*t^5+2*t^6
106,10_22,Y,N,2-6*t+10*t^2-13*t^3+10*t^4-6*t^5+2*t^6
107,10_23,Y,N,2-7*t+13*t^2-15*t^3+13*t^4-7*t^5+2*t^6
108,10_24,Y,N,4-14*t+19*t^2-14*t^3+4*t^4
109,10_25,Y,N,2-8*t+14*t^2-17*t^3+14*t^4-8*t^5+2*t^6
110,10_26,Y,N,2-7*t+13*t^2-17*t^3+13*t^4-7*t^5+2*t^6
111,10_27,Y,N,2-8*t+16*t^2-19*t^3+16*t^4-8*t^5+2*t^6
112,10_28,Y,N,4-13*t+19*t^2-13*t^3+4*t^4
