,name,alternating,positive,alexander_polynomial
2,4_1,Y,N,1-3*t+t^2
5,6_1,Y,N,2-5*t+2*t^2
6,6_2,Y,N,1-3*t+3*t^2-3*t^3+t^4
7,6_3,Y,N,1-3*t+5*t^2-3*t^3+t^4
13,7_6,Y,N,1-5*t+7*t^2-5*t^3+t^4
14,7_7,Y,N,1-5*t+9*t^2-5*t^3+t^4
15,8_1,Y,N,3-7*t+3*t^2
16,8_2,Y,N,1-3*t+3*t^2-3*t^3+3*t^4-3*t^5+t^6
17,8_3,Y,N,4-9*t+4*t^2
18,8_4,Y,N,2-5*t+5*t^2-5*t^3+2*t^4
19,8_5,Y,N,1-3*t+4*t^2-5*t^3+4*t^4-3*t^5+t^6
20,8_6,Y,N,2-6*t+7*t^2-6*t^3+2*t^4
21,8_7,Y,N,1-3*t+5*t^2-5*t^3+5*t^4-3*t^5+t^6
22,8_8,Y,N,2-6*t+9*t^2-6*t^3+2*t^4
23,8_9,Y,N,1-3*t+5*t^2-7*t^3+5*t^4-3*t^5+t^6
24,8_10,Y,N,1-3*t+6*t^2-7*t^3+6*t^4-3*t^5+t^6
25,8_11,Y,N,2-7*t+9*t^2-7*t^3+2*t^4
26,8_12,Y,N,1-7*t+13*t^2-7*t^3+t^4
27,8_13,Y,N,2-7*t+11*t^2-7*t^3+2*t^4
28,8_14,Y,N,2-8*t+11*t^2-8*t^3+2*t^4
30,8_16,Y,N,1-4*t+8*t^2-9*t^3+8*t^4-4*t^5+t^6
31,8_17,Y,N,1-4*t+8*t^2-11*t^3+8*t^4-4*t^5+t^6
32,8_18,Y,N,1-5*t+10*t^2-13*t^3+10*t^4-5*t^5+t^6
43,9_8,Y,N,2-8*t+11*t^2-8*t^3+2*t^4
46,9_11,Y,N,1-5*t+7*t^2-7*t^3+7*t^4-5*t^5+t^6
47,9_12,Y,N,2-9*t+13*t^2-9*t^3+2*t^4
49,9_14,Y,N,2-9*t+15*t^2-9*t^3+2*t^4
50,9_15,Y,N,2-10*t+15*t^2-10*t^3+2*t^4
52,9_17,Y,N,1-5*t+9*t^2-9*t^3+9*t^4-5*t^5+t^6
54,9_19,Y,N,2-10*t+17*t^2-10*t^3+2*t^4
55,9_20,Y,N,1-5*t+9*t^2-11*t^3+9*t^4-5*t^5+t^6
56,9_21,Y,N,2-11*t+17*t^2-11*t^3+2*t^4
57,9_22,Y,N,1-5*t+10*t^2-11*t^3+10*t^4-5*t^5+t^6
59,9_24,Y,N,1-5*t+10*t^2-13*t^3+10*t^4-5*t^5+t^6
60,9_25,Y,N,3-12*t+17*t^2-12*t^3+3*t^4
61,9_26,Y,N,1-5*t+11*t^2-13*t^3+11*t^4-5*t^5+t^6
62,9_27,Y,N,1-5*t+11*t^2-15*t^3+11*t^4-5*t^5+t^6
63,9_28,Y,N,1-5*t+12*t^2-15*t^3+12*t^4-5*t^5+t^6
64,9_29,Y,N,1-5*t+12*t^2-15*t^3+12*t^4-5*t^5+t^6
65,9_30,Y,N,1-5*t+12*t^2-17*t^3+12*t^4-5*t^5+t^6
66,9_31,Y,N,1-5*t+13*t^2-17*t^3+13*t^4-5*t^5+t^6
67,9_32,Y,N,1-6*t+14*t^2-17*t^3+14*t^4-6*t^5+t^6
68,9_33,Y,N,1-6*t+14*t^2-19*t^3+14*t^4-6*t^5+t^6
69,9_34,Y,N,1-6*t+16*t^2-23*t^3+16*t^4-6*t^5+t^6
71,9_36,Y,N,1-5*t+8*t^2-9*t^3+8*t^4-5*t^5+t^6
72,9_37,Y,N,2-11*t+19*t^2-11*t^3+2*t^4
74,9_39,Y,N,3-14*t+21*t^2-14*t^3+3*t^4
75,9_40,Y,N,1-7*t+18*t^2-23*t^3+18*t^4-7*t^5+t^6
76,9_41,Y,N,3-12*t+19*t^2-12*t^3+3*t^4
85,10_1,Y,N,4-9*t+4*t^2
86,10_2,Y,N,1-3*t+3*t^2-3*t^3+3*t^4-3*t^5+3*t^6-3*t^7+t^8
87,10_3,Y,N,6-13*t+6*t^2
88,10_4,Y,N,3-7*t+7*t^2-7*t^3+3*t^4
89,10_5,Y,N,1-3*t+5*t^2-5*t^3+5*t^4-5*t^5+5*t^6-3*t^7+t^8
90,10_6,Y,N,2-6*t+7*t^2-7*t^3+7*t^4-6*t^5+2*t^6
91,10_7,Y,N,3-11*t+15*t^2-11*t^3+3*t^4
92,10_8,Y,N,2-5*t+5*t^2-5*t^3+5*t^4-5*t^5+2*t^6
93,10_9,Y,N,1-3*t+5*t^2-7*t^3+7*t^4-7*t^5+5*t^6-3*t^7+t^8
94,10_10,Y,N,3-11*t+17*t^2-11*t^3+3*t^4
95,10_11,Y,N,4-11*t+13*t^2-11*t^3+4*t^4
96,10_12,Y,N,2-6*t+10*t^2-11*t^3+10*t^4-6*t^5+2*t^6
97,10_13,Y,N,2-13*t+23*t^2-13*t^3+2*t^4
98,10_14,Y,N,2-8*t+12*t^2-13*t^3+12*t^4-8*t^5+2*t^6
99,10_15,Y,N,2-6*t+9*t^2-9*t^3+9*t^4-6*t^5+2*t^6
100,10_16,Y,N,4-12*t+15*t^2-12*t^3+4*t^4
101,10_17,Y,N,1-3*t+5*t^2-7*t^3+9*t^4-7*t^5+5*t^6-3*t^7+t^8
102,10_18,Y,N,4-14*t+19*t^2-14*t^3+4*t^4
103,10_19,Y,N,2-7*t+11*t^2-11*t^3+11*t^4-7*t^5+2*t^6
104,10_20,Y,N,3-9*t+11*t^2-9*t^3+3*t^4
105,10_21,Y,N,2-7*t+9*t^2-9*t^3+9*t^4-7*t^5+2*t^6
106,10_22,Y,N,2-6*t+10*t^2-13*t^3+10*t^4-6*t^5+2*t^6
107,10_23,Y,N,2-7*t+13*t^2-15*t^3+13*t^4-7*t^5+2*t^6
108,10_24,Y,N,4-14*t+19*t^2-14*t^3+4*t^4
109,10_25,Y,N,2-8*t+14*t^2-17*t^3+14*t^4-8*t^5+2*t^6
110,10_26,Y,N,2-7*t+13*t^2-17*t^3+13*t^4-7*t^5+2*t^6
111,10_27,Y,N,2-8*t+16*t^2-19*t^3+16*t^4-8*t^5+2*t^6
112,10_28,Y,N,4-13*t+19*t^2-13*t^3+4*t^4
113,10_29,Y,N,1-7*t+15*t^2-17*t^3+15*t^4-7*t^5+t^6
114,10_30,Y,N,4-17*t+25*t^2-17*t^3+4*t^4
115,10_31,Y,N,4-14*t+21*t^2-14*t^3+4*t^4
116,10_32,Y,N,2-8*t+15*t^2-19*t^3+15*t^4-8*t^5+2*t^6
117,10_33,Y,N,4-16*t+25*t^2-16*t^3+4*t^4
118,10_34,Y,N,3-9*t+13*t^2-9*t^3+3*t^4
119,10_35,Y,N,2-12*t+21*t^2-12*t^3+2*t^4
120,10_36,Y,N,3-13*t+19*t^2-13*t^3+3*t^4
121,10_37,Y,N,4-13*t+19*t^2-13*t^3+4*t^4
122,10_38,Y,N,4-15*t+21*t^2-15*t^3+4*t^4
123,10_39,Y,N,2-8*t+13*t^2-15*t^3+13*t^4-8*t^5+2*t^6
124,10_40,Y,N,2-8*t+17*t^2-21*t^3+17*t^4-8*t^5+2*t^6
125,10_41,Y,N,1-7*t+17*t^2-21*t^3+17*t^4-7*t^5+t^6
126,10_42,Y,N,1-7*t+19*t^2-27*t^3+19*t^4-7*t^5+t^6
127,10_43,Y,N,1-7*t+17*t^2-23*t^3+17*t^4-7*t^5+t^6
128,10_44,Y,N,1-7*t+19*t^2-25*t^3+19*t^4-7*t^5+t^6
129,10_45,Y,N,1-7*t+21*t^2-31*t^3+21*t^4-7*t^5+t^6
130,10_46,Y,N,1-3*t+4*t^2-5*t^3+5*t^4-5*t^5+4*t^6-3*t^7+t^8
131,10_47,Y,N,1-3*t+6*t^2-7*t^3+7*t^4-7*t^5+6*t^6-3*t^7+t^8
132,10_48,Y,N,1-3*t+6*t^2-9*t^3+11*t^4-9*t^5+6*t^6-3*t^7+t^8
134,10_50,Y,N,2-7*t+11*t^2-13*t^3+11*t^4-7*t^5+2*t^6
135,10_51,Y,N,2-7*t+15*t^2-19*t^3+15*t^4-7*t^5+2*t^6
136,10_52,Y,N,2-7*t+13*t^2-15*t^3+13*t^4-7*t^5+2*t^6
138,10_54,Y,N,2-6*t+10*t^2-11*t^3+10*t^4-6*t^5+2*t^6
140,10_56,Y,N,2-8*t+14*t^2-17*t^3+14*t^4-8*t^5+2*t^6
141,10_57,Y,N,2-8*t+18*t^2-23*t^3+18*t^4-8*t^5+2*t^6
142,10_58,Y,N,3-16*t+27*t^2-16*t^3+3*t^4
143,10_59,Y,N,1-7*t+18*t^2-23*t^3+18*t^4-7*t^5+t^6
144,10_60,Y,N,1-7*t+20*t^2-29*t^3+20*t^4-7*t^5+t^6
145,10_61,Y,N,2-5*t+6*t^2-7*t^3+6*t^4-5*t^5+2*t^6
146,10_62,Y,N,1-3*t+6*t^2-8*t^3+9*t^4-8*t^5+6*t^6-3*t^7+t^8
148,10_64,Y,N,1-3*t+6*t^2-10*t^3+11*t^4-10*t^5+6*t^6-3*t^7+t^8
149,10_65,Y,N,2-7*t+14*t^2-17*t^3+14*t^4-7*t^5+2*t^6
151,10_67,Y,N,4-16*t+23*t^2-16*t^3+4*t^4
152,10_68,Y,N,4-14*t+21*t^2-14*t^3+4*t^4
153,10_69,Y,N,1-7*t+21*t^2-29*t^3+21*t^4-7*t^5+t^6
154,10_70,Y,N,1-7*t+16*t^2-19*t^3+16*t^4-7*t^5+t^6
155,10_71,Y,N,1-7*t+18*t^2-25*t^3+18*t^4-7*t^5+t^6
156,10_72,Y,N,2-9*t+16*t^2-19*t^3+16*t^4-9*t^5+2*t^6
157,10_73,Y,N,1-7*t+20*t^2-27*t^3+20*t^4-7*t^5+t^6
158,10_74,Y,N,4-16*t+23*t^2-16*t^3+4*t^4
159,10_75,Y,N,1-7*t+19*t^2-27*t^3+19*t^4-7*t^5+t^6
160,10_76,Y,N,2-7*t+12*t^2-15*t^3+12*t^4-7*t^5+2*t^6
161,10_77,Y,N,2-7*t+14*t^2-17*t^3+14*t^4-7*t^5+2*t^6
162,10_78,Y,N,1-7*t+16*t^2-21*t^3+16*t^4-7*t^5+t^6
163,10_79,Y,N,1-3*t+7*t^2-12*t^3+15*t^4-12*t^5+7*t^6-3*t^7+t^8
165,10_81,Y,N,1-8*t+20*t^2-27*t^3+20*t^4-8*t^5+t^6
166,10_82,Y,N,1-4*t+8*t^2-12*t^3+13*t^4-12*t^5+8*t^6-4*t^7+t^8
167,10_83,Y,N,2-9*t+19*t^2-23*t^3+19*t^4-9*t^5+2*t^6
168,10_84,Y,N,2-9*t+20*t^2-25*t^3+20*t^4-9*t^5+2*t^6
169,10_85,Y,N,1-4*t+8*t^2-10*t^3+11*t^4-10*t^5+8*t^6-4*t^7+t^8
170,10_86,Y,N,2-9*t+19*t^2-25*t^3+19*t^4-9*t^5+2*t^6
